"","id","submitted","updated","title","abstract","authors","affiliations","link_abstract","link_pdf","link_doi","comment","journal_ref","doi","primary_category","categories"
"13","astro-ph/9802241v2","1998-02-18 14:47:08","1998-03-06 12:46:01","Ultra high energy neutrinos from gamma ray bursts","  Protons accelerated to high energies in the relativistic shocks that generate
gamma ray bursts photoproduce pions, and then neutrinos in situ. I show that
ultra high energy neutrinos (> 10^19 eV) are produced during the burst and the
afterglow. A larger flux, also from bursts, is generated via photoproduction
off CMBR photons in flight but is not correlated with currently observable
bursts, appearing as a bright background. Adiabatic/synchrotron losses from
protons/pions/muons are negligible. Temporal and directional coincidences with
bursts detected by satellites can separate correlated neutrinos from the
background.
","Mario Vietri","","http://arxiv.org/abs/astro-ph/9802241v2","http://arxiv.org/pdf/astro-ph/9802241v2","http://dx.doi.org/10.1103/PhysRevLett.80.3690","Adiabatic/synchrotron losses from protons/pions/muons shown to be
  negligible. Accepted for publication in Phys. Rev. Letters. RevTeX","Phys.Rev.Lett. 80 (1998) 3690-3693","10.1103/PhysRevLett.80.3690","astro-ph","astro-ph"
"14","astro-ph/9802304v1","1998-02-24 11:28:54","1998-02-24 11:28:54","Discovery of SAX J1753.5-2349 and SAX J1806.5-2215: two X-ray bursters
  without detectable steady emission","  We report the discovery with BeppoSAX-WFC of two new X-ray sources that were
only seen during bursts: SAX J1753.5-2349 and SAX J1806.5-2215. For both
sources, no steady emission was detected above an upper limit of 5 mCrab (2 to
8 keV) for 3 10**5 s around the burst events. The single burst detected from
SAX J1753.5-2349 shows spectral softening and a black body color temperature of
2.0 keV. Following the analogy with bursts in other sources the burst very
likely originates in a thermonuclear flash on a neutron star. The first of two
burst detected from SAX J1806.5-2215 does not show spectral softening and
cannot be confirmed as a thermonuclear flash.
","J. J. M. in 't Zand|J. Heise|J. M. Muller|A. Bazzano|M. Cocchi|L. Natalucci|P. Ubertini","SRON|SRON|SRON and Bepposax-SDC|CNR-Ias|CNR-Ias|CNR-Ias|CNR-Ias","http://arxiv.org/abs/astro-ph/9802304v1","http://arxiv.org/pdf/astro-ph/9802304v1","http://dx.doi.org/10.1016/S0920-5632(98)00214-X","4 pages, 4 figures, to be published in Proceedings of the Symposium
  ""The Active X-Ray Sky: Results from BeppoSAX and Rossi-XTE"", Rome, Italy,
  21-24 October, 1997, Nuclear Physics B Proceedings Supplements. Eds. L.
  Scarsi, H. Bradt, P. Giommi, and F. Fiore","","10.1016/S0920-5632(98)00214-X","astro-ph","astro-ph"
"15","astro-ph/9804239v1","1998-04-23 07:53:22","1998-04-23 07:53:22","A BATSE-based search for repeaters in the sample of gamma-ray bursts
  detected by the WATCH experiment","  This study is the first known attempt to search for gamma-ray burst repeaters
combining data from gamma-ray experiments flying on board different satellites
and making use of information derived from the bursts detected simultaneously
by all the experiments. The proposed method is suitable to correlate GRB data
provided by experiments that overlap partially or totally in time.
  As an application of this method we have correlated the positions of 57
gamma-ray bursts observed by WATCH/GRANAT and WATCH/EURECA with 1905 bursts
detected by BATSE. Comparing the so-called ``added correlation'' between the
WATCH and BATSE bursts with that obtained with simulated WATCH catalogues, we
conclude that there is no indication of recurrent activity of WATCH bursts in
the BATSE sample. We derive an upper limit of 15.8%, with a confidence level of
94%, for the number of WATCH gamma-ray bursts that could represent a population
of repeaters in the BATSE sample.
","J. Gorosabel|A. J. Castro-Tirado|S. Brandt|N. Lund","","http://arxiv.org/abs/astro-ph/9804239v1","http://arxiv.org/pdf/astro-ph/9804239v1","","6 pages with 4 encapsulated PostScript figures included, gzipped tar
  format. Uses Astronomy & Astrophysics LaTeX macros. Accepted for publication
  in A&A","Astron.Astrophys. 336 (1998) 57-62","","astro-ph","astro-ph"
"16","astro-ph/9804274v1","1998-04-27 18:34:06","1998-04-27 18:34:06","The Correlation of Gamma-Ray Bursts with Active Galactic Nuclei","  We search for angular correlation of gamma-ray bursts with cataloged quasars,
BL Lac objects, and AGN using a large sample of relatively well-localized
bursts detected by WATCH on board GRANAT and EURECA, IPN, and BATSE (327 bursts
total). A statistically significant (99.99% confidence) correlation between GRB
and M_B<-21 AGN in the redshift range 0.1<z<0.32 is found. The correlation with
AGN is detected, with a lower significance, in three independent GRB datasets.
The correlation amplitude implies that, depending on the AGN catalog
completeness, 10% to 100% of bursts with peak fluxes in the range 3-30x10**-6
erg/s/cm^2 in the 100-500 keV band are physically related to AGN. The
established distance scale corresponds to the energy release of order 10**52
ergs per burst.
","R. A. Burenin|A. A. Vikhlinin|O. V. Terekhov|S. Yu. Sazonov","","http://arxiv.org/abs/astro-ph/9804274v1","http://arxiv.org/pdf/astro-ph/9804274v1","","10 pages, 7 figures, accepted for publication in Astronomy Letters","","","astro-ph","astro-ph"
"17","astro-ph/9807314v1","1998-07-30 07:14:20","1998-07-30 07:14:20","Gamma-Ray Burst 980329 and its X-Ray Afterglow","  GRB 980329 is the brightest gamma-ray burst detected so far with the Wide
Field Cameras aboard BeppoSAX, both in gamma-rays and X-rays. With respect to
its fluence (2.6 X 10**-5 erg/s/cm**2 in 50 to 300 keV) it would be in the top
4% of gamma-ray bursts in the 4B catalog (Meegan et al. 1998). The
time-averaged burst spectrum from 2 to 20 and 70 to 650 keV can be well
described by the empirical model of Band et al. (1993). The resulting photon
index above the break energy is exceptionally hard at -1.32 +/- 0.03. An X-ray
afterglow was detected with the narrow-field instruments aboard BeppoSAX 7 h
after the event within the error box as determined with the Wide Field Cameras.
Its peak flux is (1.4 +/- 0.2) X 10**-12 erg/s/cm**2 (2 to 10 keV). The
afterglow decayed according to a power law function with an index of -1.35 +/-
0.03. GRB 980329 is characterized by being bright and hard, and lacking strong
spectral evolution.
","J. J. M. in 't Zand|L. Amati|L. A. Antonelli|R. C. Butler|A. J. Castro-Tirado|A. Coletta|E. Costa|M. Feroci|F. Frontera|J. Heise|S. Molendi|L. Nicastro|A. Owens|E. Palazzi|E. Pian|L. Piro|G. Pizzichini|M. J. S. Smith|M. Tavani","","http://arxiv.org/abs/astro-ph/9807314v1","http://arxiv.org/pdf/astro-ph/9807314v1","http://dx.doi.org/10.1086/311620","13 pages with 3 figures. Accepted for publication in ApJ Lett","","10.1086/311620","astro-ph","astro-ph"
"18","astro-ph/9808122v1","1998-08-12 16:15:06","1998-08-12 16:15:06","BeppoSAX observations of GRB970402","  GRB970402 is the fourth gamma-ray burst detected by BeppoSAX simultaneously
in the Gamma Ray Burst Monitor (GRBM) and one of the two Wide Field Cameras
(WFCs). A rapid pointing of the BeppoSAX Narrow Field Instruments (NFIs) 8
hours after the GRB led to the identification of an unknown weak X-ray source:
1SAX J1450.1-6920. Its position was approximately at the center of the 3 arcmin
error circle derived from the WFC image. Both the Medium Energy (MECS, 2-10
keV) and Low Energy (LECS, 0.1-10 keV) concentrators detected the source. A
follow-up observation performed 1.5 days later and lasting 54 ks showed that
the source had faded almost to, but not below the detectability threshold. The
flux decrease between the two observations was a factor ~= 2.5. 1SAX
J1450.1-6920 was the second X-ray afterglow associated with a GRB. Searches
promptly started at other wavelengths (optical, IR, radio) did not reveal any
transient event within the 3 arcmin error circle.
","L. Nicastro|L. Amati|L. A. Antonelli|R. C. Butler|E. Costa|G. Cusumano|M. Feroci|F. Frontera|J. Heise|K. Hurley|J. M. Muller|A. Owens|L. Piro","IFCAI-CNR, Palermo, I||||||||||||","http://arxiv.org/abs/astro-ph/9808122v1","http://arxiv.org/pdf/astro-ph/9808122v1","","4 pages, Latex, 3 PS figures, requires l-aa.sty, accepted for
  publication in Astronomy and Astrophysics Letters","","","astro-ph","astro-ph"
"19","astro-ph/9809300v2","1998-09-24 00:31:51","1999-01-11 19:49:57","The Intensity Distribution of Faint Gamma-ray Bursts Detected with BATSE","  We have recently completed a search of 6 years of archival BATSE data for
gamma-ray bursts (GRBs) that were too faint to activate the real-time burst
detection system running onboard the spacecraft. These ""non-triggered"" bursts
can be combined with the ""triggered"" bursts detected onboard to produce a GRB
intensity distribution that reaches peak fluxes a factor of 2 lower than could
be studied previously. The value of the V/Vmax statistic (in Euclidean space)
for the bursts we detect is 0.177 +/- 0.006. This surprisingly low value is
obtained because we detected very few bursts on the 4.096 s and 8.192 s time
scales (where most bursts have their highest signal-to-noise ratio) that were
not already detected on the 1.024 s time scale. If allowance is made for a
power-law distribution of intrinsic peak luminosities, the extended peak flux
distribution is consistent with models in which the redshift distribution of
the gamma-ray burst rate approximately traces the star formation history of the
Universe. We argue that this class of models is preferred over those in which
the burst rate is independent of redshift. We use the peak flux distribution to
derive a limit of 10% (99% confidence) on the fraction of the total burst rate
that could be contributed by a spatially homogeneous (in Euclidean space)
subpopulation of burst sources, such as type Ib/c supernovae. These results
lend support to the conclusions of previous studies predicting that relatively
few faint ""classical"" GRBs will be found below the BATSE onboard detection
threshold.
","J. M. Kommers|W. H. G. Lewin|C. Kouveliotou|J. van Paradijs|G. N. Pendleton|C. A. Meegan|G. J. Fishman","MIT|MIT|USRA|UAH|UAH|NASA/MSFC|NASA/MSFC","http://arxiv.org/abs/astro-ph/9809300v2","http://arxiv.org/pdf/astro-ph/9809300v2","","21 pp, figures included; LaTeX, uses aas2pp4.sty. Extended and
  updated discussion; to appear in ApJ. The burst catalog and further
  information are available at http://space.mit.edu/BATSE","","","astro-ph","astro-ph"
"20","astro-ph/9901230v1","1999-01-18 15:05:17","1999-01-18 15:05:17","SAX J1810.8-2609: an X-ray bursting transient","  We report on the BeppoSAX/WFC observation of a strong type-I X-ray burst from
the recently discovered transient source SAX J1810.8-2609. The observed event
showed evidence of photospheric radius expansion due to super-Eddington burst
luminosity. Burst detection identifies the source as a probable low-mass X-ray
binary harbouring a neutron star.
","M. Cocchi|A. Bazzano|L. Natalucci|P. Ubertini|J. Heise|J. M. Muller|M. J. S. Smith|J. J. M. in 't Zand","","http://arxiv.org/abs/astro-ph/9901230v1","http://arxiv.org/pdf/astro-ph/9901230v1","","4 pages, 3 figures, proc. 3rd INTEGRAL Workshop - Taormina 1998","","","astro-ph","astro-ph"
"21","astro-ph/9906389v1","1999-06-24 14:42:11","1999-06-24 14:42:11","GRB Redshift determination in the X-ray band","  If gamma-ray bursts originate in dense stellar forming regions, the
interstellar material can imprint detectable absorption features on the
observed X-ray spectrum. Such features can be detected by existing and planned
X-ray satellites, as long as the X-ray afterglow is observed after a few
minutes from the burst. Detection of these X-ray features will make possible
the determination of the redshift of gamma-ray bursts even when their optical
afterglows are severely dimmed by extinction.
","Sergio Campana|Gabriele Ghisellini|Davide Lazzati|Francesco Haardt|Stefano Covino| .","Brera Astronomical Observatory;|Brera Astronomical Observatory;|Brera Astronomical Observatory;|Insubria University|Brera Astronomical Observatory;|","http://arxiv.org/abs/astro-ph/9906389v1","http://arxiv.org/pdf/astro-ph/9906389v1","http://dx.doi.org/10.1051/aas:1999322","2 pages, A&AS in press, proceedings of the Workshop ""Gamma Ray Bursts
  in the Afterglow Era"" held in Rome, November 1998","","10.1051/aas:1999322","astro-ph","astro-ph"
"22","astro-ph/9907180v1","1999-07-13 22:03:36","1999-07-13 22:03:36","Integrating the BeppoSAX Gamma-Ray Burst Monitor into the 3rd
  Interplanetary Network","  We have added the BeppoSAX Gamma-Ray Burst Monitor to the 3rd Interplanetary
Network of burst detectors. We analyze 16 bursts whose positions are known to
good accuracy from measurements at other wavelengths. We show that there is
excellent agreement between the Ulysses/BeppoSAX triangulation annuli and the
known positions of these events, and that these annuli can in many cases
provide useful constraints on the positions of bursts detected by the BeppoSAX
Wide Field Camera and Narrow Field Instruments.
","K. Hurley|M. Feroci|M. -N. Cinti|E. Costa|B. Preger|F. Frontera|D. Dal Fiume|M. Orlandini| L.| Amati|L. Nicastro|J. Heise|J. J. M. in 't Zand|T. Cline","","http://arxiv.org/abs/astro-ph/9907180v1","http://arxiv.org/pdf/astro-ph/9907180v1","http://dx.doi.org/10.1086/308737","16 pages, 18 figures, submitted to the Astrophysical Journal","","10.1086/308737","astro-ph","astro-ph"
